image5.png
Number of points: 38
X:1506, Y:815;
X:1457, Y:825;
X:980, Y:1012;
X:1399, Y:1020;
X:1118, Y:1063;
X:1732, Y:1117;
X:824, Y:1129;
X:921, Y:1134;
X:1713, Y:1166;
X:1555, Y:1193;
X:1296, Y:1205;
X:1630, Y:1210;
X:1464, Y:1212;
X:926, Y:1217;
X:1535, Y:1234;
X:1620, Y:1239;
X:1192, Y:1244;
X:850, Y:1285;
X:1637, Y:1302;
X:1279, Y:1319;
X:1279, Y:1329;
X:1250, Y:1331;
X:1608, Y:1339;
X:1511, Y:1348;
X:1606, Y:1348;
X:1559, Y:1385;
X:1628, Y:1385;
X:1001, Y:1414;
X:1213, Y:1468;
X:1550, Y:1470;
X:1474, Y:1487;
X:1075, Y:1497;
X:1433, Y:1502;
X:1552, Y:1551;
X:1477, Y:1560;
X:1450, Y:1597;
X:1421, Y:1607;
X:1477, Y:1641;
