image3.png
Number of points: 38
X:1451, Y:917;
X:1493, Y:923;
X:933, Y:990;
X:1071, Y:1096;
X:1294, Y:1103;
X:824, Y:1121;
X:874, Y:1122;
X:1650, Y:1163;
X:1623, Y:1208;
X:843, Y:1213;
X:1573, Y:1246;
X:1471, Y:1261;
X:781, Y:1271;
X:1150, Y:1285;
X:1568, Y:1287;
X:1418, Y:1302;
X:1232, Y:1305;
X:1458, Y:1307;
X:1603, Y:1349;
X:1222, Y:1407;
X:1544, Y:1407;
X:1170, Y:1411;
X:1544, Y:1423;
X:1223, Y:1425;
X:1458, Y:1432;
X:1497, Y:1443;
X:878, Y:1444;
X:1574, Y:1472;
X:1522, Y:1534;
X:963, Y:1550;
X:1425, Y:1565;
X:1171, Y:1572;
X:1394, Y:1581;
X:1519, Y:1622;
X:1440, Y:1674;
X:1425, Y:1707;
X:1371, Y:1713;
X:1431, Y:1749;
