image1.png
Number of points: 38
X:1487, Y:835;
X:1522, Y:844;
X:989, Y:902;
X:769, Y:999;
X:1348, Y:1013;
X:1144, Y:1039;
X:903, Y:1085;
X:1740, Y:1147;
X:883, Y:1152;
X:1705, Y:1203;
X:1536, Y:1210;
X:1149, Y:1221;
X:836, Y:1228;
X:1619, Y:1231;
X:1513, Y:1242;
X:1293, Y:1245;
X:1476, Y:1245;
X:1603, Y:1282;
X:1622, Y:1337;
X:1198, Y:1370;
X:1246, Y:1381;
X:1561, Y:1384;
X:1283, Y:1386;
X:941, Y:1390;
X:1494, Y:1395;
X:1559, Y:1400;
X:1550, Y:1416;
X:1589, Y:1441;
X:1527, Y:1499;
X:1450, Y:1506;
X:1205, Y:1525;
X:1042, Y:1532;
X:1406, Y:1532;
X:1466, Y:1606;
X:1552, Y:1622;
X:1390, Y:1645;
X:1448, Y:1645;
X:1439, Y:1705;
